src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
10.5.34.209,224.0.0.251,5353,5353,2048,2022-05-18 12:26:42,8306717.000000001,723.1497112517495,2.046536555898076,2.046536555898076,0.0,17,0,6007,0,1455.0,117.0,353.3529411764706,395.6173048580082,0.0,0.0,0.0,0.0,1455,117,353.3529411764706,395.6173048580082,156513.0519031142,136,0,8,17,519169.8125,4586337.0,3437.0,1088166.1713949195,8306717.0,4586337.0,3437.0,519169.8125,1088166.1713949195,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,353.3529411764706,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3471.0,14.0,0.0,0.0,1416.7977269192793,0.0,353.3529411764706,0.0,0,17,0,6007,0
10.5.45.69,224.0.0.251,5353,5353,2048,2022-05-18 12:26:42,7983082.0,234.24537039704717,2.004238463290243,2.004238463290243,0.0,16,0,1870,0,130.0,77.0,116.875,22.73454145128069,0.0,0.0,0.0,0.0,130,77,116.875,22.73454145128069,516.859375,128,0,8,16,532205.4666666667,3049618.0,608.0,1001849.3572517354,7983082.0,3049618.0,608.0,532205.4666666667,1001849.3572517354,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,116.875,0,0,0.0,0.0,0.0,0.0,1790985.0,1258633.0,1524809.0,266176.0,516.0,6.0,0.0,0.0,1123.3276622702322,0.0,116.875,0.0,0,16,0,1870,0
10.5.45.110,10.5.47.255,137,137,2048,2022-05-18 12:26:42,985228.0,286.2281624151973,3.044980451225503,3.044980451225503,0.0,3,0,282,0,94.0,94.0,94.0,0.0,0.0,0.0,0.0,0.0,94,94,94.0,0.0,0.0,24,0,8,3,492614.0,646145.0,339083.0,153531.0,985228.0,646145.0,339083.0,492614.0,153531.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,94.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,0.0,0,3,0,282,0
10.5.45.110,10.5.47.255,138,138,2048,2022-05-18 12:26:42,7995810.0,109.05711866590127,0.5002620122289049,0.5002620122289049,0.0,4,0,872,0,218.0,218.0,218.0,0.0,0.0,0.0,0.0,0.0,218,218,218.0,0.0,0.0,32,0,8,4,2665270.0,4311184.0,1282450.0,1250392.271866713,7995810.0,4311184.0,1282450.0,2665270.0,1250392.271866713,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,218.0,0,0,0.0,0.0,0.0,0.0,1909008.0,1119726.0,1437061.3333333333,340264.61974697805,0.0,0.0,0.0,0.0,0.0,0.0,218.0,0.0,0,4,0,872,0
10.5.43.107,10.5.47.255,57621,57621,2048,2022-05-18 12:26:42,0.0,0,0,0,0,1,0,88,0,88.0,88.0,88.0,0.0,0.0,0.0,0.0,0.0,88,88,88.0,0.0,0.0,8,0,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,88.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,0,1,0,88,0
10.5.42.177,224.0.0.251,5353,5353,2048,2022-05-18 12:26:42,8612136.0,153.27208023654063,0.6966912738024574,0.6966912738024574,0.0,6,0,1320,0,220.0,220.0,220.0,0.0,0.0,0.0,0.0,0.0,220,220,220.0,0.0,0.0,48,0,8,6,1722427.2,2469550.0,1172429.0,514513.75653500267,8612136.0,2469550.0,1172429.0,1722427.2,514513.75653500267,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,220.0,0,0,0.0,0.0,0.0,0.0,2469550.0,400589.0,1435069.5,1034480.5,0.0,0.0,0.0,0.0,0.0,0.0,220.0,0.0,0,6,0,1320,0
10.5.39.0,239.255.255.250,58241,1900,2048,2022-05-18 12:26:42,6511535.0,155.72365041422643,0.9214417184273753,0.9214417184273753,0.0,6,0,1014,0,169.0,169.0,169.0,0.0,0.0,0.0,0.0,0.0,169,169,169.0,0.0,0.0,48,0,8,6,1302307.0,3135146.0,11897.0,1474968.316712871,6511535.0,3135146.0,11897.0,1302307.0,1474968.316712871,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,169.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.0,0.0,0,6,0,1014,0
10.5.41.166,10.5.47.255,2008,2008,2048,2022-05-18 12:26:42,8946078.0,608.0877005543658,9.501370321161966,9.501370321161966,0.0,85,0,5440,0,64.0,64.0,64.0,0.0,0.0,0.0,0.0,0.0,64,64,64.0,0.0,0.0,680,0,8,85,106500.92857142857,623104.0,394.0,152437.85240876,8946078.0,623104.0,394.0,106500.92857142857,152437.85240876,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,64.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,85.0,0.0,0.0,190.0274064232393,0.0,64.0,0.0,0,85,0,5440,0
10.5.41.166,10.5.47.255,2007,2007,2048,2022-05-18 12:26:42,8946068.0,608.088380280588,9.501380941884188,9.501380941884188,0.0,85,0,5440,0,64.0,64.0,64.0,0.0,0.0,0.0,0.0,0.0,64,64,64.0,0.0,0.0,680,0,8,85,106500.80952380953,623130.0,381.0,146315.97444225813,8946068.0,623130.0,381.0,106500.80952380953,146315.97444225813,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,64.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,85.0,0.0,0.0,190.02761883768378,0.0,64.0,0.0,0,85,0,5440,0
10.5.36.70,224.0.0.251,5353,5353,2048,2022-05-18 12:26:42,927816.0,2132.9660191244816,4.311199634410271,4.311199634410271,0.0,4,0,1979,0,1487.0,110.0,494.75,574.1708696024207,0.0,0.0,0.0,0.0,1487,110,494.75,574.1708696024207,329672.1875,32,0,8,4,309272.0,587127.0,3325.0,239162.5167802569,927816.0,587127.0,3325.0,309272.0,239162.5167802569,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,494.75,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1803.0,4.0,0.0,0.0,1943.2732352104297,0.0,494.75,0.0,0,4,0,1979,0
